Duration,Date,Pulse,Maxpulse,Calories
1970-01-01 00:00:00.000000060, '2020/12/01',110.0,130,409.1
1970-01-01 00:00:00.000000060, '2020/12/02',117.0,145,479.0
1970-01-01 00:00:00.000000060, '2020/12/10',98.0,124,269.0
1970-01-01 00:00:00.000000060, '2020/12/11',103.0,147,329.3
1970-01-01 00:00:00.000000060, '2020/12/12',100.0,120,250.7
1970-01-01 00:00:00.000000060, '2020/12/12',100.0,120,250.7
1970-01-01 00:00:00.000000060, '2020/12/13',,128,345.3
1970-01-01 00:00:00.000000060, '2020/12/14',104.0,132,379.3
1970-01-01 00:00:00.000000060, '2020/12/15',98.0,123,275.0
1970-01-01 00:00:00.000000060, '2020/12/16',98.0,120,215.2
1970-01-01 00:00:00.000000060, '2020/12/17',100.0,120,300.0
1970-01-01 00:00:00.000000045, '2020/12/18',90.0,112,
1970-01-01 00:00:00.000000060, '2020/12/19',103.0,123,323.0
1970-01-01 00:00:00.000000045, '2020/12/20',97.0,125,243.0
1970-01-01 00:00:00.000000060, '2020/12/21',108.0,131,364.2
1970-01-01 00:00:00.000000060, '2020/12/23',130.0,101,300.0
1970-01-01 00:00:00.000000045, '2020/12/24',105.0,132,246.0
1970-01-01 00:00:00.000000060, '2020/12/25',102.0,126,334.5
1970-01-01 00:00:00.000000060,20201226,100.0,120,250.0
1970-01-01 00:00:00.000000060, '2020/12/27',92.0,118,241.0
1970-01-01 00:00:00.000000060, '2020/12/29',100.0,132,280.0
1970-01-01 00:00:00.000000060, '2020/12/30',102.0,129,380.3
1970-01-01 00:00:00.000000060, '2020/12/31',92.0,115,243.0
